ballot_code,rank_type,region,province,eligible_voters_sum,voters_used_sum,province_turnout_rate
CON,Top 10,ภาคใต้,พัทลุง,422693.0,329838,0.7803252005592711
CON,Top 10,ภาคใต้,สงขลา,1122947.0,834590,0.7432140608595063
CON,Top 10,ภาคกลาง,นครปฐม,756871.0,560830,0.7409849234545913
CON,Top 10,ภาคกลาง,ราชบุรี,691526.0,509867,0.7373070571460798
CON,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,591982.0,435231,0.7352098543536797
CON,Top 10,ภาคกลาง,พระนครศรีอยุธยา,677848.0,498076,0.7347901004354959
CON,Top 10,ภาคเหนือ,แม่ฮ่องสอน,185172.0,134769,0.7278044196746808
CON,Top 10,ภาคตะวันออก,นครนายก,212999.0,155019,0.7277921492589167
CON,Top 10,ภาคกลาง,อ่างทอง,224089.0,162487,0.725100294972087
CON,Top 10,ภาคเหนือ,ลำพูน,333891.0,241311,0.7227238829438349
CON,Bottom 10,ภาคอีสาน,ชัยภูมิ,904844.0,465570,0.5145306815318441
CON,Bottom 10,ภาคอีสาน,อุดรธานี,1258728.0,719092,0.5712846619762173
CON,Bottom 10,ภาคอีสาน,บุรีรัมย์,1261622.0,729170,0.5779623373720496
CON,Bottom 10,ภาคอีสาน,สุรินทร์,1096279.0,635754,0.5799198926550632
CON,Bottom 10,ภาคกลาง,อุทัยธานี,261841.0,153174,0.5849885999518792
CON,Bottom 10,ภาคอีสาน,ร้อยเอ็ด,1054374.0,617341,0.58550476396421
CON,Bottom 10,ภาคอีสาน,หนองคาย,413467.0,244970,0.5924777551775595
CON,Bottom 10,ภาคอีสาน,ศรีสะเกษ,1168696.0,692929,0.5929078220512435
CON,Bottom 10,ภาคอีสาน,สกลนคร,919997.0,546739,0.594283459619977
CON,Bottom 10,ภาคอีสาน,หนองบัวลำภู,408642.0,245958,0.6018911418796893
PL,Top 10,ภาคใต้,สงขลา,1122947.0,837989,0.7462409178705673
PL,Top 10,ภาคใต้,พัทลุง,422693.0,314194,0.7433148881102833
PL,Top 10,ภาคกลาง,นครปฐม,756871.0,561033,0.7412531329645342
PL,Top 10,ภาคกลาง,ราชบุรี,691526.0,512366,0.740920804134624
PL,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,591982.0,434541,0.734044278373329
PL,Top 10,ภาคกลาง,พระนครศรีอยุธยา,677848.0,495773,0.731392583588061
PL,Top 10,ภาคตะวันออก,นครนายก,212999.0,155587,0.7304588284452039
PL,Top 10,ภาคเหนือ,แม่ฮ่องสอน,185172.0,134978,0.7289331000367226
PL,Top 10,ภาคใต้,ตรัง,510403.0,369314,0.7235733332288408
PL,Top 10,ภาคกลาง,สิงห์บุรี,167173.0,120546,0.72108534272879
PL,Bottom 10,ภาคอีสาน,ชัยภูมิ,904844.0,467281,0.5164216152176507
PL,Bottom 10,ภาคอีสาน,อุดรธานี,1258728.0,716585,0.5692929687748266
PL,Bottom 10,ภาคอีสาน,บุรีรัมย์,1261622.0,723486,0.5734570259554763
PL,Bottom 10,ภาคอีสาน,สุรินทร์,1096279.0,633002,0.5774095827795661
PL,Bottom 10,ภาคอีสาน,ศรีสะเกษ,1168696.0,681608,0.583220957374715
PL,Bottom 10,ภาคกลาง,อุทัยธานี,261841.0,152857,0.5837779415752308
PL,Bottom 10,ภาคอีสาน,หนองคาย,413467.0,245229,0.5931041655077672
PL,Bottom 10,ภาคอีสาน,ร้อยเอ็ด,1054374.0,631925,0.5993366680134373
PL,Bottom 10,ภาคตะวันออก,ระยอง,621808.0,375382,0.6036943879782827
PL,Bottom 10,ภาคอีสาน,สกลนคร,919997.0,555694,0.6040171870125663
RFD,Top 10,ภาคกลาง,นครปฐม,756871.0,570995,0.7544152173884321
RFD,Top 10,ภาคตะวันออก,นครนายก,212999.0,158814,0.7456091343151846
RFD,Top 10,ภาคใต้,พัทลุง,422693.0,314764,0.7446633845367678
RFD,Top 10,ภาคกลาง,ราชบุรี,691526.0,509190,0.7363280628638692
RFD,Top 10,ภาคเหนือ,ลำพูน,333891.0,245614,0.7356113222578626
RFD,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,591982.0,433098,0.7316067042578998
RFD,Top 10,ภาคกลาง,พระนครศรีอยุธยา,677848.0,495911,0.731596169052649
RFD,Top 10,ภาคใต้,สงขลา,1122947.0,816011,0.7266692016631239
RFD,Top 10,ภาคเหนือ,เชียงใหม่,1348261.0,978769,0.7259492041971102
RFD,Top 10,ภาคกลาง,เพชรบุรี,396388.0,284809,0.7185106511801568
RFD,Bottom 10,ภาคอีสาน,ชัยภูมิ,904844.0,455593,0.503504471489008
RFD,Bottom 10,ภาคอีสาน,สุรินทร์,1096279.0,604606,0.5515074173636456
RFD,Bottom 10,ภาคอีสาน,บุรีรัมย์,1261622.0,696625,0.5521661797273668
RFD,Bottom 10,ภาคอีสาน,อุดรธานี,1258728.0,697810,0.5543771172167458
RFD,Bottom 10,ภาคกลาง,อุทัยธานี,261841.0,147241,0.5623298108394026
RFD,Bottom 10,ภาคอีสาน,หนองบัวลำภู,408642.0,231114,0.5655659476999427
RFD,Bottom 10,ภาคอีสาน,ร้อยเอ็ด,1054374.0,599394,0.5684832896107074
RFD,Bottom 10,ภาคอีสาน,ศรีสะเกษ,1168696.0,665587,0.569512516514132
RFD,Bottom 10,ภาคอีสาน,หนองคาย,413467.0,239256,0.5786580307497333
RFD,Bottom 10,ภาคอีสาน,อำนาจเจริญ,302708.0,175335,0.5792215600512706
