ballot_code,region,eligible_voters_sum,voters_used_sum,region_turnout_rate
CON,ภาคใต้,7365051.0,5195133,0.7053763782491119
CON,ภาคกลาง,6482195.0,4567820,0.7046717971304474
CON,ปริมณฑล,3696287.0,2500541,0.6765007695560437
CON,ภาคตะวันออก,4177993.0,2790500,0.6679044220514491
CON,ภาคเหนือ,9120170.0,6027002,0.6608431641076866
CON,กรุงเทพ,4502458.0,2921346,0.6488335926731577
CON,ภาคอีสาน,17578769.0,10630239,0.6047203305305394
PL,ภาคกลาง,6482195.0,4556637,0.7029466099060581
PL,ภาคใต้,7365051.0,5168909,0.7018157783293014
PL,ปริมณฑล,3696287.0,2501338,0.676716391340824
PL,ภาคตะวันออก,4177993.0,2777562,0.6648077198788988
PL,ภาคเหนือ,9120170.0,6004212,0.6583443071784846
PL,กรุงเทพ,4502458.0,2917995,0.648089332537916
PL,ภาคอีสาน,17578769.0,10638989,0.6052180900721774
RFD,ภาคกลาง,6482195.0,4531590,0.6990826409881221
RFD,ภาคใต้,7365051.0,5057870,0.6867393043171052
RFD,กรุงเทพ,4502458.0,3089456,0.6861709759424741
RFD,ปริมณฑล,3696287.0,2531994,0.6850101196146295
RFD,ภาคตะวันออก,4177993.0,2817144,0.6742816467141041
RFD,ภาคเหนือ,9120170.0,5945565,0.6519138349394803
RFD,ภาคอีสาน,17578769.0,10324976,0.5873548938495068
