region,no_vote,voters_used,rate,year,ballot_code
กรุงเทพ,98099,3312913,0.029611100563159975,2566,CON
ปริมณฑล,82293,2795272,0.029440068801891192,2566,CON
ภาคกลาง,111268,5053579,0.02201766312547998,2566,CON
ภาคตะวันออก,67140,3158590,0.02125632006686528,2566,CON
ภาคอีสาน,180728,12452007,0.014513965499698162,2566,CON
ภาคเหนือ,149700,6997640,0.02139292675816418,2566,CON
ภาคใต้,174328,5558736,0.03136108640525472,2566,CON
กรุงเทพ,155356,2921346,0.05317959598075681,2569,CON
ปริมณฑล,136876,2500541,0.05473855457678958,2569,CON
ภาคกลาง,198071,4567820,0.04336226033425135,2569,CON
ภาคตะวันออก,138298,2790500,0.049560293854148,2569,CON
ภาคอีสาน,316200,10630239,0.029745333101165457,2569,CON
ภาคเหนือ,279913,6027002,0.0464431569792079,2569,CON
ภาคใต้,221908,5195133,0.04271459460229411,2569,CON
กรุงเทพ,53475,3312908,0.016141408092225924,2566,PL
ปริมณฑล,42212,2795267,0.015101240775925878,2566,PL
ภาคกลาง,72242,5053576,0.014295223817748066,2566,PL
ภาคตะวันออก,43593,3158590,0.013801411389259131,2566,PL
ภาคอีสาน,94441,12451999,0.007584404720880559,2566,PL
ภาคเหนือ,78680,6997633,0.011243802011337262,2566,PL
ภาคใต้,95352,5558737,0.01715353685558428,2566,PL
กรุงเทพ,79331,2917995,0.027186818346158922,2569,PL
ปริมณฑล,83543,2501338,0.033399324681430496,2569,PL
ภาคกลาง,172466,4556637,0.0378494051643789,2569,PL
ภาคตะวันออก,102967,2777562,0.037070999675254776,2569,PL
ภาคอีสาน,246538,10638989,0.023173066538559255,2569,PL
ภาคเหนือ,205700,6004212,0.03425928331644519,2569,PL
ภาคใต้,120060,5168909,0.023227338689847315,2569,PL
